material,carbon_score,recyclable,cost_level,durability,biodegradable,material_type,water_usage,lifecycle_impact
bamboo,10,yes,low,medium,yes,structural,low,low
hemp,15,yes,low,medium,yes,textile,low,low
jute,18,yes,low,medium,yes,textile,low,low
cardboard,22,yes,low,low,yes,rigid,low,medium
recycled_plastic,40,yes,low,medium,no,rigid,medium,medium
plastic,80,no,low,low,no,rigid,medium,high
wood,20,yes,medium,high,yes,structural,medium,medium
glass,25,yes,medium,high,no,rigid,high,medium
aluminum,35,yes,medium,high,no,rigid,high,medium
steel,30,yes,medium,high,no,structural,high,medium
cork_board,12,yes,medium,medium,yes,structural,low,low
ceramic,28,no,medium,high,no,rigid,medium,medium
rubber,26,yes,medium,medium,yes,textile,medium,medium
titanium,40,yes,high,high,no,structural,high,medium
carbon_fiber,45,no,high,high,no,structural,high,high
bioplastic,25,yes,high,medium,yes,rigid,medium,low
rice_husk_board,12,yes,low,medium,yes,structural,low,low
fly_ash_cement,18,yes,medium,high,no,structural,medium,medium
ferrocement,25,yes,medium,high,no,structural,medium,medium
compressed_straw_panel,10,yes,low,medium,yes,structural,low,low
rammed_earth,8,no,low,high,yes,structural,low,low
hempcrete,9,yes,medium,medium,yes,structural,low,low
bamboo_laminate,14,yes,medium,high,yes,structural,low,low
organic_cotton,20,yes,medium,medium,yes,textile,high,medium
recycled_cotton,18,yes,low,medium,yes,textile,medium,low
linen,16,yes,medium,medium,yes,textile,low,low
bamboo_fiber,15,yes,medium,medium,yes,textile,low,low
silk,22,yes,high,medium,yes,textile,medium,medium
rice_husk_bioplastic,18,yes,medium,medium,yes,rigid,low,low
bagasse_board,14,yes,low,medium,yes,rigid,low,low
mycelium_composite,10,yes,medium,medium,yes,rigid,low,low
copper,45,yes,high,high,no,structural,high,medium
iron,50,yes,medium,high,no,structural,high,medium
fabric,30,no,medium,medium,yes,textile,medium,medium
leather,60,no,high,high,no,textile,high,high
paper,15,yes,low,low,yes,rigid,low,low
recycled_glass,20,yes,medium,high,no,rigid,medium,low
recycled_steel,22,yes,medium,high,no,structural,medium,low
cork_fabric,14,yes,medium,medium,yes,textile,low,low
stone,18,no,medium,high,no,structural,low,medium